race_num,race_city,rank,driver,car_no,start,laps,total_time,laps_led,status,avg_speed,num_pit_stop,points,points_f1,points_IMSA,track_type
10,iowa1,26,David Malukas,66,14,0,1.5292,0,Contact,0.000,0,5,0,67,Oval
10,iowa1,27,Agustin Canapino,78,16,0,1.6497,0,Contact,0.000,0,5,0,55,Oval
1,stpetersburg,1,Pato O'Ward,5,3,100,6697.5075,0,Running,96.752,2,50,25,380,Street Course
1,stpetersburg,2,Will Power,12,8,100,6698.6513,0,Running,96.736,2,30,18,343,Street Course
1,stpetersburg,3,Colton Herta,26,4,100,6699.8532,1,Running,96.719,2,36,15,328,Street Course
1,stpetersburg,4,Alex Palou,10,13,100,6701.399,0,Running,96.696,2,32,12,298,Street Course
1,stpetersburg,5,Felix Rosenqvist,60,2,100,6703.9998,0,Running,96.659,2,30,10,292,Street Course
1,stpetersburg,6,Alexander Rossi,7,15,100,6705.3807,0,Running,96.639,2,28,8,266,Street Course
1,stpetersburg,7,Scott Dixon,9,11,100,6705.8918,0,Running,96.631,2,26,6,260,Street Course
1,stpetersburg,8,Rinus VeeKay,21,7,100,6708.43,0,Running,96.595,2,24,4,254,Street Course
1,stpetersburg,9,Santino Ferrucci,14,14,100,6712.6391,0,Running,96.534,2,22,2,237,Street Course
1,stpetersburg,10,Kyle Kirkwood,27,18,100,6714.183,0,Running,96.512,2,20,1,223,Street Course
1,stpetersburg,11,Callum Ilott,6,16,100,6718.3067,0,Running,96.453,2,19,0,215,Street Course
1,stpetersburg,12,Kyffin Simpson,4,23,100,6719.1616,0,Running,96.441,2,18,0,198,Street Course
1,stpetersburg,13,Pietro Fittipaldi,30,26,100,6722.4129,0,Running,96.394,2,17,0,185,Street Course
1,stpetersburg,14,Graham Rahal,15,22,100,6724.2909,0,Running,96.367,3,16,0,179,Street Course
1,stpetersburg,15,Tom Blomqvist,66,17,100,6730.068,0,Running,96.284,2,15,0,174,Street Course
1,stpetersburg,16,Agustin Canapino,78,20,100,6731.7201,0,Running,96.261,2,14,0,161,Street Course
1,stpetersburg,17,Jack Harvey,18,27,100,6738.9407,0,Running,96.158,2,13,0,144,Street Course
1,stpetersburg,18,Christian Lundgaard,45,12,100,6748.3301,7,Running,96.024,3,13,0,149,Street Course
1,stpetersburg,19,Christian Rasmussen,20,21,99,6741.5301,0,Running,95.159,2,11,0,130,Street Course
1,stpetersburg,20,Colin Braun,51,25,99,6747.0026,0,Running,95.082,2,10,0,116,Street Course
1,stpetersburg,21,Linus Lundqvist,8,19,97,6747.7687,0,Running,93.151,2,9,0,112,Street Course
1,stpetersburg,22,Romain Grosjean,77,5,82,5609.495,0,Mechanical,94.725,2,8,0,116,Street Course
1,stpetersburg,23,Marcus Ericsson,28,6,52,3575.2774,0,Mechanical,94.247,1,7,0,105,Street Course
1,stpetersburg,24,Sting Ray Robb,41,24,33,2237.3009,0,Off course,95.579,1,6,0,77,Street Course
1,stpetersburg,25,Marcus Armstrong,11,10,25,1567.8934,0,Contact,103.323,0,5,0,81,Street Course
1,stpetersburg,26,Josef Newgarden,2,1,0,0.0,0,DSQ,0.000,0,1,0,85,Street Course
1,stpetersburg,27,Scott McLaughlin,3,9,0,0.7207,0,DSQ,0.000,0,0,0,62,Street Course
14,portland,1,Will Power,12,2,110,6934.1948,101,Running,112.161,3,53,25,382,Road Course
14,portland,2,Alex Palou,10,3,110,6944.0215,3,Running,112.002,3,41,18,350,Road Course
14,portland,3,Josef Newgarden,2,5,110,6957.3994,1,Running,111.787,3,36,15,326,Road Course
14,portland,4,Colton Herta,26,8,110,6971.2987,4,Running,111.564,3,33,12,303,Road Course
14,portland,5,Marcus Armstrong,11,7,110,6972.2282,1,Running,111.549,3,31,10,284,Road Course
14,portland,6,Marcus Ericsson,28,10,110,6974.9635,0,Running,111.505,3,28,8,271,Road Course
14,portland,7,Scott McLaughlin,3,20,110,6976.5446,0,Running,111.480,3,26,6,251,Road Course
14,portland,8,Santino Ferrucci,14,1,110,6979.0504,0,Running,111.440,3,25,4,265,Road Course
14,portland,9,Graham Rahal,15,12,110,6983.7759,0,Running,111.364,3,22,2,239,Road Course
14,portland,10,Kyle Kirkwood,27,11,110,6985.1935,0,Running,111.342,3,20,1,230,Road Course
14,portland,11,Rinus VeeKay,21,14,110,6986.3708,0,Running,111.323,3,19,0,217,Road Course
14,portland,12,Alexander Rossi,7,17,110,6986.6927,0,Running,111.318,3,18,0,204,Road Course
14,portland,13,Christian Lundgaard,45,4,110,6989.6915,0,Running,111.270,3,17,0,208,Road Course
14,portland,14,Felix Rosenqvist,60,18,110,6990.9554,0,Running,111.250,3,16,0,183,Road Course
14,portland,15,Pato O'Ward,5,22,110,6992.5878,0,Running,111.224,3,15,0,169,Road Course
14,portland,16,Kyffin Simpson,4,28,110,6993.6799,0,Running,111.207,3,14,0,153,Road Course
14,portland,17,Toby Sowery,51,19,109,6941.8278,0,Running,111.019,3,13,0,152,Road Course
14,portland,18,Sting Ray Robb,41,24,109,6950.3948,0,Running,110.882,3,12,0,137,Road Course
14,portland,19,Juri Vips,75,15,109,6951.5976,0,Running,110.863,3,11,0,136,Road Course
14,portland,20,David Malukas,66,25,109,6956.2806,0,Running,110.788,3,10,0,116,Road Course
14,portland,21,Nolan Siegel,6,23,109,6965.2629,0,Running,110.645,4,9,0,108,Road Course
14,portland,22,Conor Daly,78,26,109,6965.9333,0,Running,110.635,3,8,0,95,Road Course
14,portland,23,Linus Lundqvist,8,21,109,6966.0097,0,Running,110.633,4,7,0,90,Road Course
14,portland,24,Jack Harvey,18,27,109,6968.9787,0,Running,110.586,3,6,0,74,Road Course
14,portland,25,Pietro Fittipaldi,30,13,109,6970.6786,0,Running,110.559,3,5,0,78,Road Course
14,portland,26,Christian Rasmussen,20,16,108,6947.724,0,Running,109.907,3,5,0,65,Road Course
14,portland,27,Romain Grosjean,77,6,107,6945.8508,0,Running,108.919,4,5,0,65,Road Course
14,portland,28,Scott Dixon,9,9,0,0.9315,0,Contact,0.000,0,5,0,52,Road Course
9,midohio,1,Pato O'Ward,5,2,80,5602.6191,24,Running,116.071,2,51,25,382,Road Course
9,midohio,2,Alex Palou,10,1,80,5603.1184,53,Running,116.061,2,44,18,355,Road Course
9,midohio,3,Scott McLaughlin,3,6,80,5618.7749,3,Running,115.738,2,36,15,325,Road Course
9,midohio,4,Colton Herta,26,4,80,5627.4916,0,Running,115.558,2,32,12,308,Road Course
9,midohio,5,Marcus Ericsson,28,5,80,5634.3,0,Running,115.419,2,30,10,286,Road Course
9,midohio,6,Alexander Rossi,7,7,80,5634.8634,0,Running,115.407,2,28,8,274,Road Course
9,midohio,7,Christian Lundgaard,45,9,80,5635.1905,0,Running,115.401,2,26,6,262,Road Course
9,midohio,8,Kyle Kirkwood,27,14,80,5637.8409,0,Running,115.346,2,24,4,247,Road Course
9,midohio,9,Christian Rasmussen,20,8,80,5642.9373,0,Running,115.242,2,22,2,243,Road Course
9,midohio,10,Santino Ferrucci,14,21,80,5649.5275,0,Running,115.108,2,20,1,220,Road Course
9,midohio,11,Will Power,12,15,80,5651.2737,0,Running,115.072,2,19,0,216,Road Course
9,midohio,12,David Malukas,66,3,80,5652.0097,0,Running,115.057,2,18,0,220,Road Course
9,midohio,13,Toby Sowery,51,24,80,5652.5057,0,Running,115.047,2,17,0,187,Road Course
9,midohio,14,Felix Rosenqvist,60,19,80,5654.4353,0,Running,115.008,3,16,0,182,Road Course
9,midohio,15,Linus Lundqvist,8,10,80,5656.0985,0,Running,114.974,3,15,0,181,Road Course
9,midohio,16,Sting Ray Robb,41,25,80,5657.3604,0,Running,114.948,2,14,0,156,Road Course
9,midohio,17,Marcus Armstrong,11,11,80,5658.459,0,Running,114.926,3,13,0,160,Road Course
9,midohio,18,Graham Rahal,15,18,80,5661.4872,0,Running,114.865,3,12,0,143,Road Course
9,midohio,19,Rinus VeeKay,21,20,80,5663.0741,0,Running,114.832,3,11,0,131,Road Course
9,midohio,20,Nolan Siegel,6,16,80,5668.4782,0,Running,114.723,3,10,0,125,Road Course
9,midohio,21,Kyffin Simpson,4,23,80,5669.6604,0,Running,114.699,3,9,0,108,Road Course
9,midohio,22,Agustin Canapino,78,22,79,5605.8966,0,Running,114.554,2,8,0,99,Road Course
9,midohio,23,Romain Grosjean,77,12,79,5613.1085,0,Running,114.406,2,7,0,99,Road Course
9,midohio,24,Pietro Fittipaldi,30,27,79,5615.6225,0,Running,114.355,3,6,0,74,Road Course
9,midohio,25,Josef Newgarden,2,17,79,5621.0299,0,Running,114.245,3,5,0,74,Road Course
9,midohio,26,Jack Harvey,18,26,79,5645.1083,0,Running,113.758,2,5,0,55,Road Course
9,midohio,27,Scott Dixon,9,13,40,4378.792,0,Mechanical,74.256,1,5,0,58,Road Course
5,indy500,1,Josef Newgarden,2,3,200,10729.4079,26,Running,167.763,5,61,25,380,Oval
5,indy500,2,Pato O'Ward,5,8,200,10729.7496,11,Running,167.758,6,46,18,343,Oval
5,indy500,3,Scott Dixon,9,21,200,10730.3176,12,Running,167.749,6,36,15,310,Oval
5,indy500,4,Alexander Rossi,7,4,200,10730.577,12,Running,167.745,5,42,12,308,Oval
5,indy500,5,Alex Palou,10,14,200,10730.9158,1,Running,167.740,5,31,10,277,Oval
5,indy500,6,Scott McLaughlin,3,1,200,10731.4672,66,Running,167.731,5,43,8,285,Oval
5,indy500,7,Kyle Kirkwood,27,11,200,10731.9458,2,Running,167.724,6,29,6,260,Oval
5,indy500,8,Santino Ferrucci,14,6,200,10733.0222,1,Running,167.707,5,32,4,255,Oval
5,indy500,9,Rinus VeeKay,21,7,200,10733.3639,8,Running,167.701,5,29,2,244,Oval
5,indy500,10,Conor Daly,24,29,200,10734.015,22,Running,167.691,6,21,1,212,Oval
5,indy500,11,Callum Ilott,6,15,200,10734.3731,1,Running,167.686,7,20,0,216,Oval
5,indy500,12,Christian Rasmussen,33,24,200,10734.7313,0,Running,167.680,6,18,0,197,Oval
5,indy500,13,Christian Lundgaard,45,28,200,10735.5903,5,Running,167.667,7,18,0,183,Oval
5,indy500,14,Takuma Sato,75,10,200,10736.0972,0,Running,167.659,6,19,0,191,Oval
5,indy500,15,Graham Rahal,15,33,200,10736.7687,0,Running,167.648,7,15,0,160,Oval
5,indy500,16,Sting Ray Robb,41,23,200,10737.9177,23,Running,167.630,5,15,0,158,Oval
5,indy500,17,Ed Carpenter,20,17,200,10738.316,3,Running,167.624,6,14,0,154,Oval
5,indy500,18,Kyle Larson,17,5,200,10738.8925,4,Running,167.615,6,21,0,156,Oval
5,indy500,19,Romain Grosjean,77,26,200,10739.2391,0,Running,167.610,7,11,0,125,Oval
5,indy500,20,Helio Castroneves,06,20,200,10739.7681,0,Running,167.601,5,10,0,121,Oval
5,indy500,21,Kyffin Simpson,4,18,200,10740.501,3,Running,167.590,8,10,0,113,Oval
5,indy500,22,Agustin Canapino,78,22,199,10732.6079,0,Running,166.875,6,8,0,99,Oval
5,indy500,23,Colton Herta,26,13,170,10229.6118,0,Contact,149.566,4,7,0,98,Oval
5,indy500,24,Will Power,12,2,145,8017.2524,0,Contact,162.774,4,17,0,102,Oval
5,indy500,25,Marco Andretti,98,19,113,6452.7638,0,Contact,157.607,5,5,0,72,Oval
5,indy500,26,Ryan Hunter-Reay,23,12,107,5996.0999,0,Contact,160.604,4,6,0,69,Oval
5,indy500,27,Felix Rosenqvist,60,9,55,3119.8657,0,Mechanical,158.661,1,9,0,62,Oval
5,indy500,28,Linus Lundqvist,8,27,27,1769.7195,0,Contact,137.310,2,5,0,34,Oval
5,indy500,29,Katherine Legge,51,31,22,1852.8001,0,Mechanical,106.865,1,5,0,20,Oval
5,indy500,30,Marcus Armstrong,11,16,6,627.1741,0,Mechanical,86.100,0,5,0,25,Oval
5,indy500,31,Tom Blomqvist,66,25,0,5.4517,0,Contact,0.000,0,5,0,16,Oval
5,indy500,32,Pietro Fittipaldi,30,30,0,5.6941,0,Contact,0.000,0,5,0,11,Oval
5,indy500,33,Marcus Ericsson,28,32,0,5.9281,0,Contact,0.000,0,5,0,10,Oval
4,indyrc,1,Alex Palou,10,1,85,6327.232,39,Running,117.956,3,54,25,385,Road Course
4,indyrc,2,Will Power,12,3,85,6333.8426,0,Running,117.833,3,40,18,350,Road Course
4,indyrc,3,Christian Lundgaard,45,2,85,6335.322,35,Running,117.805,3,36,15,332,Road Course
4,indyrc,4,Scott Dixon,9,6,85,6340.6582,1,Running,117.706,3,33,12,305,Road Course
4,indyrc,5,Marcus Armstrong,11,8,85,6341.1298,3,Running,117.697,3,31,10,283,Road Course
4,indyrc,6,Scott McLaughlin,3,13,85,6341.5066,2,Running,117.690,3,29,8,268,Road Course
4,indyrc,7,Colton Herta,26,24,85,6346.0874,0,Running,117.605,3,26,6,247,Road Course
4,indyrc,8,Alexander Rossi,7,7,85,6347.3958,1,Running,117.581,3,25,4,254,Road Course
4,indyrc,9,Graham Rahal,15,9,85,6349.3876,2,Running,117.544,3,23,2,242,Road Course
4,indyrc,10,Felix Rosenqvist,60,10,85,6353.5744,0,Running,117.467,3,20,1,231,Road Course
4,indyrc,11,Kyle Kirkwood,27,14,85,6354.6892,0,Running,117.446,3,19,0,217,Road Course
4,indyrc,12,Romain Grosjean,77,23,85,6356.5428,0,Running,117.412,3,18,0,198,Road Course
4,indyrc,13,Pato O'Ward,5,5,85,6358.4708,0,Running,117.376,3,17,0,206,Road Course
4,indyrc,14,Pietro Fittipaldi,30,11,85,6359.1192,2,Running,117.364,3,17,0,190,Road Course
4,indyrc,15,Kyffin Simpson,4,25,85,6359.5215,0,Running,117.357,3,15,0,166,Road Course
4,indyrc,16,Marcus Ericsson,28,21,85,6361.8902,0,Running,117.313,3,14,0,160,Road Course
4,indyrc,17,Josef Newgarden,2,4,85,6364.1969,0,Running,117.271,3,13,0,168,Road Course
