Rank,Driver,Car No.,Starts,Laps,Total time,Laps Led,Status,Points,Avg.Speed,Pit stop,City,Points (F1 Scoring),Points (IMSA Scoring),Race Number
23,Tom Blomqvist,66,26,84,01:45:55.0611,84,Running,7,116.058,3,indyrc,0,85,4
24,Linus Lundqvist,8,19,84,01:46:00.9419,84,Running,6,115.950,3,indyrc,0,82,4
25,Luca Ghiotto,51,22,84,01:46:07.4016,84,Running,5,115.833,3,indyrc,0,69,4
26,Rinus VeeKay,21,12,84,01:46:13.0203,84,Running,5,115.731,4,indyrc,0,69,4
27,Santino Ferrucci,14,16,55,01:10:12.3445,55,Mechanical,5,114.644,2,indyrc,0,55,4
1,Scott McLaughlin,3,2,250,01:44:41.1172,250,Running,53,128.098,2,iowa1,25,382,10
2,Pato O'Ward,5,6,250,01:44:41.5986,250,Running,40,128.088,2,iowa1,18,345,10
3,Josef Newgarden,2,22,250,01:44:42.6346,250,Running,35,128.067,2,iowa1,15,309,10
4,Scott Dixon,9,5,250,01:44:46.1213,250,Running,32,127.996,2,iowa1,12,306,10
5,Rinus VeeKay,21,13,250,01:44:47.6828,250,Running,30,127.964,2,iowa1,10,278,10
6,Santino Ferrucci,14,8,250,01:44:48.5747,250,Running,28,127.946,2,iowa1,8,273,10
7,Kyle Kirkwood,27,19,250,01:44:49.5372,250,Running,26,127.927,2,iowa1,6,252,10
8,Alexander Rossi,7,7,250,01:44:50.4597,250,Running,24,127.908,2,iowa1,4,254,10
9,Marcus Ericsson,28,10,250,01:44:51.4942,250,Running,22,127.887,2,iowa1,2,241,10
10,Marcus Armstrong,11,9,250,01:44:52.5178,250,Running,20,127.866,2,iowa1,1,232,10
11,Colton Herta,26,1,250,01:44:52.9286,250,Running,21,127.858,2,iowa1,0,235,10
12,Nolan Siegel,6,15,250,01:44:53.2451,250,Running,18,127.851,2,iowa1,0,206,10
13,Felix Rosenqvist,60,11,250,01:44:53.5823,250,Running,17,127.845,2,iowa1,0,200,10
14,Kyffin Simpson,4,27,250,01:44:54.6220,250,Running,16,127.823,2,iowa1,0,174,10
15,Sting Ray Robb,41,24,250,01:44:55.1414,250,Running,15,127.813,2,iowa1,0,167,10
16,Graham Rahal,15,21,249,01:44:55.6604,249,Running,14,127.291,2,iowa1,0,160,10
17,Katherine Legge,51,26,249,01:44:59.6138,249,Running,13,127.211,2,iowa1,0,145,10
18,Will Power,12,4,241,01:44:58.6088,241,Running,12,123.144,4,iowa1,0,158,10
19,Pietro Fittipaldi,30,17,228,01:34:26.8875,228,Contact,11,129.488,2,iowa1,0,134,10
20,Ed Carpenter,20,25,228,01:34:28.1006,228,Contact,10,129.461,3,iowa1,0,116,10
21,Linus Lundqvist,8,12,209,01:23:24.4177,209,Mechanical,9,134.410,2,iowa1,0,119,10
22,Christian Lundgaard,45,23,178,01:41:39.5544,178,Contact,8,93.921,3,iowa1,0,98,10
23,Alex Palou,10,3,175,01:07:09.0616,175,Contact,7,139.789,1,iowa1,0,110,10
24,Romain Grosjean,77,20,48,01:12:55.2974,48,Contact,6,35.308,1,iowa1,0,81,10
25,Jack Harvey,18,18,28,00:17:14.2261,28,Retired,5,87.133,0,iowa1,0,73,10
26,David Malukas,66,14,0,00:00:01.5292,0,Contact,5,0.000,0,iowa1,0,67,10
27,Agustin Canapino,78,16,0,00:00:01.6497,0,Contact,5,0.000,0,iowa1,0,55,10
1,Will Power,12,22,250,01:26:38.7472,250,Running,51,154.768,2,iowa2,25,359,11
2,Alex Palou,10,2,250,01:26:39.1387,250,Running,43,154.756,2,iowa2,18,352,11
3,Scott McLaughlin,3,1,250,01:26:41.1123,250,Running,37,154.698,2,iowa2,15,335,11
4,Scott Dixon,9,3,250,01:26:41.2798,250,Running,32,154.693,2,iowa2,12,310,11
5,Colton Herta,26,4,250,01:26:43.1835,250,Running,30,154.636,2,iowa2,10,288,11
6,Pato O'Ward,5,7,250,01:26:43.4261,250,Running,28,154.629,2,iowa2,8,274,11
7,Josef Newgarden,2,14,250,01:26:43.6064,250,Running,26,154.624,2,iowa2,6,257,11
8,Graham Rahal,15,8,250,01:26:56.8028,250,Running,24,154.232,2,iowa2,4,253,11
9,Rinus VeeKay,21,15,250,01:26:57.5120,250,Running,22,154.211,2,iowa2,2,236,11
10,Romain Grosjean,77,16,250,01:26:59.2280,250,Running,20,154.161,2,iowa2,1,225,11
11,Santino Ferrucci,14,19,250,01:26:59.5783,250,Running,19,154.150,2,iowa2,0,212,11
12,Linus Lundqvist,8,13,250,01:27:03.7707,250,Running,19,154.027,3,iowa2,0,208,11
13,David Malukas,66,9,250,01:27:05.2245,250,Running,17,153.984,2,iowa2,0,202,11
14,Nolan Siegel,6,11,250,01:27:06.8768,250,Running,16,153.935,2,iowa2,0,190,11
15,Alexander Rossi,7,6,249,01:26:31.4464,249,Contact,15,154.366,2,iowa2,0,185,11
16,Kyle Kirkwood,27,12,249,01:26:34.3082,249,Contact,14,154.281,2,iowa2,0,169,11
17,Christian Lundgaard,45,18,249,01:26:40.0377,249,Running,13,154.111,2,iowa2,0,153,11
18,Kyffin Simpson,4,23,249,01:26:42.3091,249,Running,12,154.043,2,iowa2,0,138,11
19,Marcus Armstrong,11,25,249,01:27:02.9722,249,Running,11,153.434,2,iowa2,0,126,11
20,Pietro Fittipaldi,30,17,249,01:27:04.6798,249,Running,10,153.384,2,iowa2,0,124,11
21,Sting Ray Robb,41,20,248,01:26:32.5738,248,Contact,9,153.712,2,iowa2,0,111,11
22,Ed Carpenter,20,26,248,01:26:33.2816,248,Contact,8,153.691,2,iowa2,0,95,11
23,Marcus Ericsson,28,21,248,01:26:40.6183,248,Running,7,153.475,2,iowa2,0,90,11
24,Katherine Legge,51,24,248,01:26:42.7888,248,Running,6,153.411,2,iowa2,0,77,11
25,Agustin Canapino,78,10,221,01:22:24.1541,221,Mechanical,5,143.860,3,iowa2,0,81,11
26,Felix Rosenqvist,60,5,184,01:12:00.9701,184,Mechanical,5,137.049,1,iowa2,0,76,11
27,Conor Daly,18,27,140,00:59:38.7787,140,Mechanical,5,125.902,1,iowa2,0,44,11
1,Alex Palou,10,1,95,02:04:09.8545,95,Running,54,102.740,3,lagunaseca,25,385,8
2,Colton Herta,26,4,95,02:04:11.8325,95,Running,41,102.712,3,lagunaseca,18,348,8
3,Alexander Rossi,7,5,95,02:04:14.3681,95,Running,36,102.678,3,lagunaseca,15,326,8
4,Romain Grosjean,77,8,95,02:04:14.6788,95,Running,32,102.673,3,lagunaseca,12,303,8
5,Kyle Kirkwood,27,2,95,02:04:18.5313,95,Running,31,102.620,3,lagunaseca,10,292,8
6,Scott Dixon,9,10,95,02:04:19.0049,95,Running,28,102.614,3,lagunaseca,8,271,8
7,Will Power,12,15,95,02:04:19.8509,95,Running,26,102.602,3,lagunaseca,6,256,8
8,Pato O'Ward,5,9,95,02:04:20.4759,95,Running,24,102.593,3,lagunaseca,4,252,8
9,Santino Ferrucci,14,17,95,02:04:20.8570,95,Running,22,102.588,3,lagunaseca,2,234,8
10,Marcus Ericsson,28,18,95,02:04:21.4943,95,Running,20,102.579,3,lagunaseca,1,223,8
11,Felix Rosenqvist,60,3,95,02:04:22.5633,95,Running,19,102.565,3,lagunaseca,0,230,8
